Date,settled_cases,volatility_index,growth_GDP,growth_unemp,lag_vol,growth_HPI,settled_lag,through,crisis,peak
2001-03-31,15,28.64,0.47177822702299466,0.023530497410193973,24.92,0.006835333883822514,3.0,0.0,0,1.0
2001-04-30,25,25.48,0.29796201371000564,0.022989518224698857,31.93,0.007697239308110504,11.0,0.0,0,0.0
2001-05-31,12,22.64,0.11409225942399814,-0.022989518224698857,33.56,0.008547940361078865,4.0,0.0,0,0.0
2001-06-30,2,19.06,-0.08508236876519959,0.04546237407675746,23.84,0.009491271931765688,3.0,0.0,0,0.0
2001-07-31,11,21.62,-0.28886817148070065,0.021978906718775004,23.8,0.00839576442530543,5.0,0.0,0,0.0
2001-08-31,9,24.92,-0.47910242605649955,0.06317890162153184,21.09,0.0066401364331722945,6.0,0.0,0,0.0
2001-09-30,7,31.93,-0.6380554667364322,0.020202707317519275,21.59,0.004139714570168707,6.0,0.0,0,0.0
2001-10-31,11,33.56,-0.7570628000264037,0.05826890812397578,17.4,0.0018603207711755942,9.0,0.0,0,0.0
2001-11-30,10,23.84,-0.8335980882104082,0.03704127168034921,21.91,0.0013562838180405379,3.0,1.0,0,0.0
2001-12-31,7,23.8,-0.8711972110560993,0.035718082602079315,19.98,0.001871585658163255,0.0,0.0,0,0.0
2002-01-31,12,21.09,-0.8824148519613999,0.0,25.4,0.003294782518521444,11.0,0.0,0,0.0
2002-02-28,9,21.59,-0.8826717507793944,0.0,32.03,0.004131068552268857,6.0,0.0,0,0.0
2002-03-31,3,17.4,-0.8860165100501973,0.0,32.64,0.008626873289041548,6.0,0.0,0,0.0
2002-04-30,11,21.91,-0.9016722848847962,0.03448617607116922,39.69,0.010778547464245669,13.0,0.0,0,0.0
2002-05-31,4,19.98,-0.9355237512679224,-0.017094433359300165,31.14,0.013158687681330328,8.0,0.0,0,0.0
2002-06-30,3,25.4,-0.9907248242235056,0.0,27.5,0.012701717326453199,6.0,0.0,0,0.0
2002-07-31,5,32.03,-1.0670180387070047,0.0,28.62,0.01100743580770569,10.0,0.0,0,0.0
2002-08-31,6,32.64,-1.1616519218216013,-0.01739174271186905,31.17,0.008389270422042294,10.0,0.0,0,0.0
2002-09-30,6,39.69,-1.2687997641527033,0.0,29.63,0.00610664514586734,7.0,0.0,0,0.0
2002-10-31,9,31.14,-1.377684682014788,0.0,29.15,0.005102822387789807,17.0,0.0,0,0.0
2002-11-30,3,27.5,-1.4754736967317967,0.03448617607116922,21.21,0.00400358166484871,13.0,0.0,0,0.0
2002-12-31,0,28.62,-1.5500099271500005,0.016807118316381153,19.47,0.004011211537743975,6.0,0.0,0,0.0
2003-01-31,11,31.17,-1.593305456843936,-0.03390155167568132,19.52,0.003940350467185105,12.0,0.0,0,0.0
2003-02-28,6,29.63,-1.598858422169073,0.017094433359300165,19.49,0.005273923552130633,8.0,0.0,0,0.0
2003-03-31,6,29.15,-1.5612517823686005,0.0,18.63,0.007623254350422215,7.0,0.0,0,0.0
2003-04-30,13,21.21,-1.4784990214745903,0.016807118316381153,22.72,0.009084113031490482,13.0,0.0,0,0.0
2003-05-31,8,19.47,-1.3515040865787142,0.016529301951210496,16.1,0.010292627631455886,6.0,0.0,0,0.0
2003-06-30,6,19.52,-1.186850334294931,0.03226086221822144,16.32,0.010458025912784663,3.0,0.0,0,0.0
2003-07-31,10,19.49,-1.002887945254102,-0.016000341346440905,18.31,0.010609763203602185,7.0,0.0,0,0.0
2003-08-31,10,18.63,-0.8220264500762937,-0.016260520871780537,16.63,0.009741104638235853,3.0,0.0,0,0.0
2003-09-30,7,22.72,-0.6644561709835983,0.0,14.55,0.008145431392304836,2.0,0.0,0,0.0
2003-10-31,17,16.1,-0.5416676225539021,-0.016529301951210496,16.74,0.0065442880354522615,8.0,0.0,0,0.0
2003-11-30,13,16.32,-0.4586829468679241,-0.03390155167568132,17.19,0.005709345565827029,8.0,0.0,0,0.0
2003-12-31,6,18.31,-0.4138799753339981,-0.01739174271186905,15.5,0.006199888390694852,6.0,0.0,0,0.0
2004-01-31,12,16.63,-0.3960430712407117,0.0,14.34,0.00769086385227169,7.0,0.0,0,0.0
2004-02-29,8,14.55,-0.3906790859482072,-0.017699577099401065,15.32,0.009365695758678072,8.0,0.0,0,0.0
2004-03-31,7,16.74,-0.3843871201332121,0.035091319811270116,15.29,0.014337338539140987,7.0,0.0,0,0.0
2004-04-30,13,17.19,-0.3682830862910862,-0.035091319811270116,13.34,0.014456256715563498,3.0,0.0,0,0.0
2004-05-31,6,15.5,-0.3368497560107926,0.0,16.27,0.014621106545945395,7.0,0.0,0,0.0
2004-06-30,3,14.34,-0.28746037253290524,0.0,13.24,0.014609742302828188,9.0,0.0,0,0.0
2004-07-31,7,15.32,-0.22097154466990787,-0.01801850550267825,13.29,0.012012731587619285,10.0,0.0,0,0.0
2004-08-31,3,15.29,-0.1398136996317163,-0.01834913866819643,12.82,0.009649097386309258,11.0,0.0,0,0.0
2004-09-30,2,13.34,-0.04727294819529959,0.0,12.08,0.008384178183351132,4.0,0.0,0,0.0
2004-10-31,8,16.27,0.05222035489700261,0.01834913866819643,14.02,0.007655687286458601,5.0,0.0,0,0.0
2004-11-30,8,13.24,0.15334043055999302,-0.01834913866819643,15.31,0.007641969024978934,5.0,0.0,0,0.0
2004-12-31,6,13.29,0.24967884067301327,0.0,13.29,0.007426465649511549,8.0,0.0,0,0.0
2005-01-31,7,12.82,0.3335146151930104,-0.01869213301215278,12.04,0.009159354126140329,6.0,0.0,0,0.0
2005-02-28,8,12.08,0.3983207147699943,0.01869213301215278,11.57,0.01114103482809714,9.0,0.0,0,0.0
2005-03-31,7,14.02,0.4422616922360021,-0.03774032798284721,12.6,0.016239204523524897,7.0,0.0,0,0.0
2005-04-30,3,15.31,0.4731462030960074,0.0,11.92,0.01461535478236975,7.0,0.0,0,0.0
2005-05-31,7,13.29,0.5022654735730043,-0.019418085857101586,15.32,0.015124655779398033,13.0,0.0,0,0.0
2005-06-30,9,12.04,0.539314133945993,-0.019802627296179764,12.06,0.014469202158995387,1.0,0.0,0,0.0
2005-07-31,10,11.57,0.5876058875600023,0.0,12.07,0.012025188895387728,11.0,0.0,0,0.0
2005-08-31,11,12.6,0.6475587147030097,-0.020202707317519275,12.95,0.01043384377722667,5.0,0.0,0,0.0
2005-09-30,4,11.92,0.7195259495910022,0.020202707317519275,12.34,0.009549420293352817,7.0,0.0,0,0.0
2005-10-31,5,15.32,0.8059561792869943,0.0,11.39,0.006409235043475903,10.0,0.0,0,0.0
2005-11-30,5,12.06,0.9077929292690072,0.0,11.59,0.005144727411742878,14.0,0.0,0,0.0
2005-12-31,8,12.07,1.0200092518969939,-0.020202707317519275,16.44,0.002412573227723591,9.0,0.0,0,0.0
2006-01-31,6,12.95,1.1262010223800019,-0.04167269640056803,13.08,0.003989632261839127,13.0,0.0,0,0.0
2006-02-28,9,12.34,1.2068177396719904,0.021053409197832273,14.95,0.0037093504808876077,13.0,0.0,0,0.0
2006-03-31,7,11.39,1.248054122141994,-0.021053409197832273,12.31,0.006857972953786984,10.0,0.0,0,0.0
2006-04-30,7,11.59,1.252773466331007,0.0,11.98,0.004907255267259991,15.0,0.0,0,0.0
2006-05-31,13,16.44,1.2325287651700023,-0.021506205220963803,11.1,0.003977963444496524,13.0,0.0,0,0.0
2006-06-30,1,13.08,1.2023967428000049,0.0,10.91,0.0009053282161852749,3.0,0.0,0,0.0
2006-07-31,11,14.95,1.1778619713570038,0.021506205220963803,11.56,0.0003359013565162883,11.0,0.0,0,0.0
2006-08-31,5,12.31,1.1711077479509981,0.0,10.42,-0.001100226389050718,9.0,0.0,0,0.0
2006-09-30,7,11.98,1.1871913779310006,-0.04348511193973881,15.42,-0.0011177247328930662,4.0,0.0,0,0.0
2006-10-31,10,11.1,1.2191989089180026,-0.022472855852058604,14.64,-0.0007766315762500753,9.0,0.0,0,0.0
2006-11-30,14,10.91,1.2561074133729875,0.022472855852058604,14.22,-0.002300846018040481,10.0,0.0,0,0.0
2006-12-31,9,11.56,1.2897284676199945,-0.022472855852058604,13.05,-0.002191536751265488,5.0,0.0,0,0.0
2007-01-31,13,10.42,1.3215441627899907,0.04445176257083361,16.23,-0.0027927101683404842,7.0,0.0,0,0.0
2007-02-28,13,15.42,1.357670261002994,-0.021978906718775004,23.52,-0.001358182435214239,9.0,0.0,0,0.0
2007-03-31,10,14.64,1.4041998657090033,-0.022472855852058604,23.38,-0.001530163433694831,2.0,0.0,0,0.0
2007-04-30,15,14.22,1.4624874960779977,0.022472855852058604,18.0,-0.0003458450593729623,12.0,0.0,0,0.0
2007-05-31,13,13.05,1.5307876829219964,-0.022472855852058604,18.53,-0.0013515891469015884,8.0,0.0,0,0.0
2007-06-30,3,16.23,1.6052840033340061,0.04445176257083361,22.87,-0.0018875873385404418,3.0,0.0,0,0.0
